Candidate ID|Total Contributions|Z Value of Total|Minimum Contribution|Maximum Contribution|Median Contribution|Mean Contribution|Stdev of Contributions
S2ME00109|4175660.00|0.2915|-1000.00|439000.00|2000.00|14398.83|51736.02
H2ND00107|7650.00|-0.0968|41.00|4000.00|500.00|1092.86|1301.38
H0SC01071|-2000.00|-0.0977|-1000.00|-1000.00|-1000.00|-1000.00|0.00
H6NJ12144|618174.00|-0.0400|-2500.00|6749.00|1000.00|1424.36|1118.33
S2AZ00182|3500.00|-0.0972|500.00|2000.00|1000.00|1166.67|623.61
H2WA04090|94299.00|-0.0888|-5000.00|5000.00|1000.00|1024.99|1843.76
H2CO00035|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H0NY13074|1432560.00|0.0359|-2500.00|94283.00|1000.00|1786.23|4322.30
H0AS00018|10750.00|-0.0966|1000.00|5000.00|1500.00|2150.00|1445.68
H2TX14123|45000.00|-0.0934|500.00|5000.00|1000.00|1666.67|1478.24
H8OH01076|12000.00|-0.0964|1000.00|2500.00|1000.00|1333.33|623.61
H2TX36084|8750.00|-0.0967|250.00|3000.00|1000.00|1458.33|961.95
S0CT00037|-1500.00|-0.0977|-1500.00|-1500.00|-1500.00|-1500.00|0.00
H2GA06115|700.00|-0.0975|200.00|500.00|500.00|350.00|150.00
H4WI04183|555982.00|-0.0458|-5000.00|5000.00|1000.00|1466.97|1328.66
H2CA36314|121537.00|-0.0862|-1000.00|28450.00|1019.00|2585.89|4928.30
H8AZ01104|3498970.00|0.2284|-2500.00|543620.00|2000.00|10444.69|45340.06
H0AR04038|345218.00|-0.0654|-5000.00|5000.00|1500.00|1514.11|1449.54
H8NV01071|41487.00|-0.0937|-2000.00|5000.00|1000.00|1257.18|1299.74
H6MI07108|82753.00|-0.0898|-5000.00|5000.00|1000.00|1313.54|2194.39
H2LA03055|10000.00|-0.0966|5000.00|5000.00|5000.00|5000.00|0.00
H2AZ03137|12043.00|-0.0964|43.00|5000.00|1000.00|1505.38|1473.63
H4LA07029|2792383.00|0.1626|-5000.00|179800.00|1500.00|2354.45|6481.06
H6CA39020|1735349.00|0.0641|-5000.00|88740.00|1000.00|2641.32|7747.94
H0MI02102|2000.00|-0.0974|2000.00|2000.00|2000.00|2000.00|0.00
H4KY01040|1353119.00|0.0285|-5000.00|5000.00|1000.00|1628.30|1142.73
H0WV01072|941175.00|-0.0099|-5000.00|30304.00|1000.00|1622.72|1860.54
H2OH12100|8401.00|-0.0968|83.00|5000.00|1000.00|1680.20|1788.44
S2PA00224|2963966.00|0.1786|-1258.00|500000.00|259.00|4819.46|30379.19
H0CA33117|438165.00|-0.0567|-2500.00|5000.00|1000.00|1470.35|1205.19
H2NY22121|250.00|-0.0975|250.00|250.00|250.00|250.00|0.00
H2NM03157|217.00|-0.0975|1.00|216.00|216.00|108.50|107.50
H2HI00015|1500.00|-0.0974|500.00|1000.00|1000.00|750.00|250.00
H2IN09167|88994.00|-0.0893|10.00|21318.00|1500.00|2870.77|3976.29
H2MD05361|-1000.00|-0.0976|-1000.00|-1000.00|-1000.00|-1000.00|0.00
H2OK02083|383868.00|-0.0618|14.00|49706.00|1500.00|2445.02|4112.80
S2ME00075|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
S2CA00286|12790.00|-0.0964|-2000.00|5000.00|1000.00|799.38|1509.59
S0MA00109|6886318.00|0.5440|-5000.00|384022.00|28.00|1393.99|11571.14
H0NY20095|3652710.00|0.2427|-5000.00|222800.00|1000.00|4364.05|17324.97
S0DE00092|508179.00|-0.0502|-5000.00|5000.00|1000.00|1477.26|1170.40
H6KS01146|433003.00|-0.0572|-4000.00|5000.00|1000.00|1223.17|941.05
H4NC05146|309650.00|-0.0687|-5000.00|5000.00|1000.00|1243.57|1081.49
H2FL10150|122518.00|-0.0861|250.00|5000.00|2000.00|2356.12|1778.65
S8WA00194|378412.00|-0.0623|-5000.00|45500.00|1000.00|1532.03|3497.87
S2NM00096|2853.00|-0.0973|50.00|2500.00|250.00|713.25|1034.76
H2TX23082|787424.00|-0.0242|-2500.00|5000.00|1000.00|1482.91|1113.72
H2SD00092|-2500.00|-0.0978|-2500.00|-2500.00|-2500.00|-2500.00|0.00
H6TX22101|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
S2AZ00232|10050837.00|0.8388|-23360.00|1079377.00|1000.00|13940.13|81280.75
H0IN03198|421265.00|-0.0583|-5000.00|5000.00|1000.00|1217.53|1018.87
H6OR05069|-1000.00|-0.0976|-1000.00|-1000.00|-1000.00|-1000.00|0.00
H2TX18140|1000.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H0OH06189|3817042.00|0.2581|-5000.00|345397.00|1000.00|3226.58|20799.51
H0AL05197|5391.00|-0.0971|391.00|5000.00|5000.00|2695.50|2304.50
S2FL00193|127220.00|-0.0857|-5000.00|5000.00|2500.00|2494.51|2041.67
H6PA08194|35500.00|-0.0942|-5000.00|5000.00|1000.00|986.11|2206.32
S0NY00550|10800.00|-0.0965|800.00|5000.00|5000.00|3600.00|1979.90
S2SD00068|487770.00|-0.0521|-5000.00|5000.00|1500.00|1735.84|1396.07
H2SC03057|-5000.00|-0.0980|-4000.00|-1000.00|-1000.00|-2500.00|1500.00
H2FL00250|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H8FL15107|460432.00|-0.0547|-5000.00|5404.00|1000.00|1382.68|1235.74
S2RI00071|42184.00|-0.0936|-125.00|9000.00|2500.00|2343.56|2335.49
H0WA08046|697914.00|-0.0325|-5000.00|75544.00|1000.00|2280.76|5390.93
H2TX27224|2600.00|-0.0973|2600.00|2600.00|2600.00|2600.00|0.00
S4IL00057|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H0NV02167|2000.00|-0.0974|2000.00|2000.00|2000.00|2000.00|0.00
H0MA04036|227163.00|-0.0764|-5000.00|10000.00|1000.00|1465.57|2008.61
P00003806|6000.00|-0.0970|1000.00|5000.00|5000.00|3000.00|2000.00
H6OH02086|404954.00|-0.0598|-5000.00|20950.00|1000.00|1840.70|2892.62
H2NC13110|562377.00|-0.0452|-1000.00|58455.00|1000.00|3269.63|8079.69
H2CA06267|29002.00|-0.0949|-2001.00|5000.00|22.00|198.64|705.87
S2MA00139|11799.00|-0.0965|14.00|5000.00|500.00|907.62|1290.23
H2FL05127|-4000.00|-0.0979|-2500.00|-1500.00|-1500.00|-2000.00|500.00
H0IL16168|0.00|-0.0976|-2500.00|2500.00|2500.00|0.00|2500.00
H0TN04195|802463.00|-0.0228|-5000.00|127746.00|1000.00|2273.27|8892.14
H0FL24064|2000.00|-0.0974|2000.00|2000.00|2000.00|2000.00|0.00
H8FL16022|501790.00|-0.0508|-5000.00|5000.00|1000.00|1484.59|1320.27
H0VA09055|621911.00|-0.0396|-2000.00|5000.00|1000.00|1535.58|1192.47
H0MI10212|2000.00|-0.0974|2000.00|2000.00|2000.00|2000.00|0.00
H2MI12156|194.00|-0.0975|2.00|132.00|13.00|32.33|45.45
S6MT00097|13178054.00|1.1302|-18892.00|838669.00|2000.00|15305.52|62505.89
H8NY26087|1057.00|-0.0975|57.00|1000.00|1000.00|528.50|471.50
H0WV03128|-2157.00|-0.0978|-2500.00|80.00|4.00|-102.71|536.57
H4CA49032|5697358.00|0.4332|-2500.00|411736.00|1000.00|6054.58|35906.01
S2TX00411|120000.00|-0.0864|120000.00|120000.00|120000.00|120000.00|0.00
S2VT00136|1050.00|-0.0975|50.00|1000.00|1000.00|525.00|475.00
S2FL00375|31209.00|-0.0946|413.00|5000.00|2500.00|2600.75|1848.13
S4TX00086|4500.00|-0.0971|1000.00|2500.00|1000.00|1500.00|707.11
H8AL02080|3100.00|-0.0973|100.00|1000.00|500.00|516.67|260.87
H6NC02080|750.00|-0.0975|750.00|750.00|750.00|750.00|0.00
H0KS03137|555140.00|-0.0458|-3000.00|5000.00|1000.00|1464.75|1110.38
H8CA36097|1116238.00|0.0064|-5000.00|78842.00|1500.00|2595.90|4946.55
H0IN05102|2000.00|-0.0974|1000.00|1000.00|1000.00|1000.00|0.00
H2TX30079|5000.00|-0.0971|5000.00|5000.00|5000.00|5000.00|0.00
H0IL00014|250.00|-0.0975|250.00|250.00|250.00|250.00|0.00
H2MI17023|1244950.00|0.0184|-5000.00|5000.00|1000.00|1786.15|1351.78
H2CA49218|7162.00|-0.0969|14.00|1575.00|500.00|550.92|455.72
H2TX29030|810602.00|-0.0220|-5000.00|5000.00|1000.00|1713.75|1300.34
H0NY04057|600.00|-0.0975|200.00|400.00|400.00|300.00|100.00
H0CA00108|6500.00|-0.0970|2500.00|4000.00|4000.00|3250.00|750.00
S6TN00216|2133483.00|0.1012|-5000.00|5000.00|1500.00|1883.04|1394.98
H0KS04051|754257.00|-0.0273|-3000.00|5000.00|1000.00|1502.50|1153.10
H2MI05119|320457.00|-0.0677|-2500.00|5000.00|1500.00|2122.23|1719.50
H2IL13138|245.00|-0.0975|245.00|245.00|245.00|245.00|0.00
H2KY04121|1044526.00|-0.0002|-2500.00|432232.00|1000.00|5770.86|33159.26
H0MN04049|426608.00|-0.0578|-2500.00|5000.00|1000.00|1720.19|1380.56
H2AZ04135|38904.00|-0.0939|37.00|17757.00|522.00|2161.33|4021.85
H8CA20059|866081.00|-0.0169|-5000.00|5000.00|1000.00|1678.45|1221.52
H2HI02508|968986.00|-0.0073|-2000.00|128720.00|1000.00|4345.23|12998.58
S2MI00185|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H0VA08040|471503.00|-0.0536|-3000.00|5000.00|1500.00|1609.23|1464.07
H2NM01136|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
S0FL00338|340009.00|-0.0659|-30170.00|5000.00|1000.00|1307.73|2838.11
H0MI10071|3179544.00|0.1987|-5000.00|15000.00|2000.00|2063.30|1658.53
H4CA20082|947427.00|-0.0093|-5000.00|166062.00|1000.00|2091.45|7991.38
H2CT01155|1044.00|-0.0975|1044.00|1044.00|1044.00|1044.00|0.00
S0WA00357|-18195.00|-0.0993|-8195.00|-5000.00|-5000.00|-6065.00|1506.14
H4CA16049|409450.00|-0.0594|-3000.00|5000.00|1000.00|1472.84|1175.83
H6PA17120|14565.00|-0.0962|10.00|5000.00|921.00|1456.50|1607.63
H6HI01113|217049.00|-0.0773|-2500.00|21125.00|1000.00|2359.23|2963.44
H2CA26091|240622.00|-0.0751|2.00|23667.00|8958.00|11458.19|10501.15
S2ME00117|7700.00|-0.0968|200.00|5000.00|2000.00|1925.00|1901.81
H2CA26075|265.00|-0.0975|-750.00|1000.00|15.00|88.33|716.31
H2OH13199|33.00|-0.0976|0.00|15.00|8.00|6.60|5.54
H2NC09076|8760.00|-0.0967|10.00|2000.00|1000.00|876.00|513.70
H8NM01224|842439.00|-0.0191|2.00|350000.00|1000.00|10273.65|40513.64
H0CA19173|2162076.00|0.1039|-2500.00|367147.00|1000.00|2841.10|15449.13
H2GA12147|3322.00|-0.0972|45.00|2000.00|168.00|553.67|729.96
H2WA03092|10000.00|-0.0966|5000.00|5000.00|5000.00|5000.00|0.00
H2NJ09107|949289.00|-0.0091|1000.00|454350.00|5000.00|105476.56|185427.11
H2MO07093|310.00|-0.0975|10.00|300.00|300.00|155.00|145.00
H4AZ04016|-1000.00|-0.0976|-1000.00|-1000.00|-1000.00|-1000.00|0.00
H4TX10093|498751.00|-0.0511|-1000.00|5000.00|1000.00|1305.63|964.38
H2CA47113|650.00|-0.0975|650.00|650.00|650.00|650.00|0.00
S2PA00232|97263.00|-0.0885|232.00|31507.00|1000.00|6078.94|10049.06
H2NY22139|3175009.00|0.1982|-5000.00|380000.00|1500.00|11936.12|45721.15
S6AL00013|314750.00|-0.0682|-5000.00|5000.00|1000.00|1683.16|1532.69
H2OK02091|44957.00|-0.0934|457.00|5000.00|2500.00|2809.81|1978.61
H8TX10060|6009.00|-0.0970|-5000.00|5000.00|1000.00|1201.80|3708.87
H0NH02017|4393522.00|0.3118|-2500.00|748869.00|1000.00|5319.03|35687.11
H2CA36439|2194693.00|0.1069|-5000.00|200000.00|1665.00|7464.94|27137.79
H2PA02055|329768.00|-0.0668|-2500.00|5000.00|1000.00|1459.15|1297.43
S6ND00058|-11556.00|-0.0986|-5000.00|30000.00|-1000.00|-304.11|5308.78
S2ME00067|250.00|-0.0975|250.00|250.00|250.00|250.00|0.00
P20004172|4000.00|-0.0972|2000.00|2000.00|2000.00|2000.00|0.00
H4AS00036|5000.00|-0.0971|5000.00|5000.00|5000.00|5000.00|0.00
H2UT03249|10051.00|-0.0966|51.00|5000.00|5000.00|3350.33|2332.98
S4ME00055|1344685.00|0.0277|-5000.00|10000.00|1000.00|1792.91|1469.91
H0SC04182|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H2AZ02055|579163.00|-0.0436|-2500.00|5000.00|1000.00|1645.35|1160.43
H4IA05102|5370282.00|0.4028|-5000.00|375000.00|1000.00|4501.49|22392.13
H4TX19102|855903.00|-0.0178|-5000.00|5000.00|1000.00|1478.24|1135.63
H6GA05217|760737.00|-0.0267|-5000.00|5000.00|1500.00|1802.69|1406.76
H4NV03043|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
S6ME00159|424460.00|-0.0580|-3000.00|5000.00|1000.00|1378.12|980.40
H2MI10093|5000.00|-0.0971|5000.00|5000.00|5000.00|5000.00|0.00
H2GA09143|104281.00|-0.0878|-1431.00|17714.00|1000.00|1829.49|2946.26
H2TX33164|2600.00|-0.0973|2600.00|2600.00|2600.00|2600.00|0.00
H6LA01183|0.00|-0.0976|0.00|0.00|0.00|0.00|0.00
H2IN06213|19055.00|-0.0958|-1000.00|3051.00|1678.00|1465.77|1072.61
H6CA42099|1046778.00|-0.0000|-5000.00|100196.00|1000.00|2522.36|7907.80
H2PA06114|1624361.00|0.0538|-5000.00|180000.00|1000.00|1635.81|5974.73
H2GA05125|2000.00|-0.0974|500.00|1000.00|500.00|666.67|235.70
P20004685|20000.00|-0.0957|20000.00|20000.00|20000.00|20000.00|0.00
H8OH07099|71928.00|-0.0909|-4000.00|5000.00|1000.00|1438.56|1798.35
H0MO07113|395341.00|-0.0607|-2500.00|5000.00|1000.00|1508.94|1174.68
H2VA08129|1485.00|-0.0974|80.00|1000.00|250.00|371.25|367.97
H2CA06291|250.00|-0.0975|250.00|250.00|250.00|250.00|0.00
S0SC00149|325376.00|-0.0672|-3000.00|5000.00|1000.00|1817.74|1454.27
H8NC07044|5230146.00|0.3897|-4000.00|584125.00|1000.00|5431.10|31571.48
H0MO00019|465267.00|-0.0542|-5000.00|5000.00|1000.00|1422.83|1491.59
H0WA06065|403.00|-0.0975|403.00|403.00|403.00|403.00|0.00
H4PA18131|601467.00|-0.0415|-2500.00|5000.00|1000.00|1474.18|1253.97
H6FL09070|277276.00|-0.0717|-2000.00|5000.00|1000.00|1482.76|1145.88
H2NC13128|326745.00|-0.0671|0.00|137340.00|5000.00|27228.75|41816.53
H2FL00284|25000.00|-0.0952|500.00|5000.00|1500.00|1785.71|1175.86
H2CA06275|10014.00|-0.0966|4.00|5000.00|1500.00|1669.00|1721.76
H0WI07069|-2000.00|-0.0977|-2000.00|-2000.00|-2000.00|-2000.00|0.00
S0AR00028|499667.00|-0.0510|-3000.00|7944.00|1000.00|1586.24|1188.85
H0TX04037|501706.00|-0.0508|-2500.00|84125.00|1000.00|1959.79|5699.67
S0UT00124|5000.00|-0.0971|5000.00|5000.00|5000.00|5000.00|0.00
H0MN06127|228022.00|-0.0763|-15.00|75591.00|1771.00|6000.58|12335.44
H2TX03118|663995.00|-0.0357|-2500.00|5000.00|1000.00|1456.13|1112.01
H2WA10014|4500.00|-0.0971|1000.00|2500.00|1000.00|1500.00|707.11
H2UT02357|67936.00|-0.0912|10.00|11185.00|2500.00|2953.74|2490.66
H0KY04109|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H0GA08099|474545.00|-0.0533|-5000.00|5000.00|1000.00|1303.70|1368.58
S2NC00083|-4922.00|-0.0980|-4000.00|78.00|-1000.00|-1640.67|1725.37
H8TX22073|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
S0IA00127|-1000.00|-0.0976|-1000.00|-1000.00|-1000.00|-1000.00|0.00
H2NV01256|2000.00|-0.0974|2000.00|2000.00|2000.00|2000.00|0.00
H2MS01049|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
S2WA00189|222997.00|-0.0768|-5000.00|7018.00|1000.00|1448.03|1520.84
H2TX00122|250.00|-0.0975|250.00|250.00|250.00|250.00|0.00
H0WA03161|708183.00|-0.0316|-5000.00|5033.00|1000.00|1924.41|1686.22
H6PA10109|15450.00|-0.0961|-5000.00|2500.00|1000.00|643.75|1363.77
H4NY26045|728318.00|-0.0297|206.00|301484.00|5167.00|38332.53|73505.69
H2TX25236|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H6UT03042|5000.00|-0.0971|5000.00|5000.00|5000.00|5000.00|0.00
S2MO00437|1478956.00|0.0402|-2500.00|342155.00|4000.00|44816.85|91739.20
H2UT04015|21237.00|-0.0956|5.00|5000.00|660.00|1179.83|1286.91
H2NY08138|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H8CA01109|1084461.00|0.0035|-1500.00|5000.00|1000.00|1625.88|1245.37
H2AZ08102|1384523.00|0.0314|1.00|189880.00|1000.00|6854.07|24324.10
H0FL05139|358547.00|-0.0642|-2500.00|9168.00|1000.00|1500.20|1478.78
H2UT02282|14505.00|-0.0962|100.00|5000.00|2000.00|2072.14|1517.92
H2NJ03183|1103824.00|0.0053|-1500.00|286752.00|1500.00|7665.44|34606.51
H2TX00015|517824.00|-0.0493|-5000.00|5000.00|1000.00|1564.42|1338.77
H2MD06146|265571.00|-0.0728|-2000.00|13062.00|1500.00|2141.70|2189.35
H6MI04113|3111311.00|0.1923|-5000.00|100000.00|2125.00|2444.08|3502.69
H2FL26032|11056.00|-0.0965|56.00|5000.00|2500.00|2211.20|1676.67
H2IL10100|3750.00|-0.0972|250.00|2000.00|1000.00|937.50|670.24
H6CO03139|1320478.00|0.0255|-5000.00|375779.00|1000.00|2524.81|16697.44
H2VA11149|16452.00|-0.0960|80.00|5000.00|1000.00|1175.14|1202.01
H2OR04061|20000.00|-0.0957|20000.00|20000.00|20000.00|20000.00|0.00
H0WI06152|17.00|-0.0976|17.00|17.00|17.00|17.00|0.00
H2NV04029|2000.00|-0.0974|2000.00|2000.00|2000.00|2000.00|0.00
H0MS02066|6000.00|-0.0970|1000.00|5000.00|5000.00|3000.00|2000.00
H0MO07105|5000.00|-0.0971|5000.00|5000.00|5000.00|5000.00|0.00
H2OH01145|32450.00|-0.0945|2450.00|5000.00|5000.00|4056.25|1218.46
H0MO03112|166453.00|-0.0820|1000.00|110000.00|5000.00|23779.00|37721.19
S2MI00193|753488.00|-0.0274|1.00|81668.00|2000.00|3220.03|7557.54
H2VA06180|3950.00|-0.0972|10.00|2500.00|400.00|790.00|926.41
H0AR03063|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H2NY00051|2459350.00|0.1316|0.00|424212.00|2000.00|14053.43|45793.56
H2NM01128|35682.00|-0.0942|1.00|5000.00|1000.00|1551.39|1082.90
P80003809|150.00|-0.0975|150.00|150.00|150.00|150.00|0.00
H2PA09035|914266.00|-0.0124|-5000.00|5000.00|1000.00|1632.62|1303.38
H2IN01123|8688.00|-0.0967|2.00|2000.00|352.00|482.67|525.07
H2FL06117|6000.00|-0.0970|500.00|2500.00|1000.00|1200.00|678.23
S6LA00227|780685.00|-0.0248|-5000.00|5000.00|1000.00|1498.44|1504.30
H2AL04055|11500.00|-0.0965|1000.00|5000.00|3000.00|2875.00|1430.69
H2NH01213|3000.00|-0.0973|500.00|1500.00|1000.00|1000.00|408.25
H0MS01043|515442.00|-0.0495|-5000.00|9309.00|1000.00|1590.87|1470.96
H8OR01072|48000.00|-0.0931|-2500.00|5000.00|1000.00|1333.33|1532.06
H0VA08149|14636.00|-0.0962|3.00|5000.00|1000.00|1330.55|1374.90
H6TX12060|570686.00|-0.0444|-2500.00|5000.00|1000.00|1555.00|1213.45
H0DC00058|172300.00|-0.0815|-5000.00|5000.00|1000.00|1740.40|2049.37
H2TX06137|200.00|-0.0975|200.00|200.00|200.00|200.00|0.00
H2ID01101|21500.00|-0.0956|1000.00|5000.00|3000.00|3071.43|1781.42
H2MO02136|6000.00|-0.0970|1000.00|3000.00|1000.00|1500.00|866.03
S2TN00058|150283.00|-0.0836|-2500.00|5000.00|1500.00|1727.39|1218.51
H8CA44034|2873519.00|0.1702|-2500.00|230310.00|1500.00|4128.62|15896.74
H0CO07026|17493.00|-0.0959|1000.00|16493.00|16493.00|8746.50|7746.50
S8NV00073|39500.00|-0.0939|-5000.00|5000.00|1000.00|1128.57|2355.37
H2OK02158|237985.00|-0.0754|-5000.00|10582.00|2500.00|2974.81|2241.04
H0CA03078|4383784.00|0.3109|-4000.00|502243.00|1381.00|9209.63|49734.01
H8IA02043|1632.00|-0.0974|-495.00|2000.00|127.00|544.00|1060.40
H2AZ03111|11500.00|-0.0965|500.00|5000.00|5000.00|2875.00|2132.34
H4KS03105|49664.00|-0.0929|565.00|49099.00|49099.00|24832.00|24267.00
H2CT02146|14334.00|-0.0962|334.00|5000.00|2000.00|2047.71|1427.27
S6NE00095|1601901.00|0.0517|-5000.00|176421.00|1500.00|2434.50|8686.12
H6KY05111|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H2OH03141|10.00|-0.0976|0.00|10.00|0.00|2.50|4.33
H2FL28012|92.00|-0.0975|92.00|92.00|92.00|92.00|0.00
H0NJ06164|21814.00|-0.0955|250.00|5000.00|2000.00|2423.78|1563.77
H2NY09086|720048.00|-0.0305|-2500.00|249375.00|1000.00|3892.15|18978.93
H2CA00104|834195.00|-0.0198|-2500.00|320000.00|1000.00|3171.84|19658.66
H4CA23011|284093.00|-0.0711|-5000.00|5000.00|1500.00|1614.16|1749.36
H6NC11172|407359.00|-0.0596|-5000.00|5000.00|1000.00|1662.69|1453.78
P20004164|4000.00|-0.0972|2000.00|2000.00|2000.00|2000.00|0.00
H8NY22102|13195.00|-0.0963|695.00|5000.00|5000.00|3298.75|1817.00
H4MI07103|537738.00|-0.0475|-3000.00|10736.00|1000.00|1375.29|1188.06
H2VA04102|9616.00|-0.0967|10.00|5000.00|1000.00|1602.67|1724.82
H2CA23114|2000.00|-0.0974|2000.00|2000.00|2000.00|2000.00|0.00
H2GA13012|796120.00|-0.0234|-2000.00|5000.00|2000.00|2157.51|1548.47
H2MD04232|250.00|-0.0975|250.00|250.00|250.00|250.00|0.00
H8CA22089|3265966.00|0.2067|-19815.00|200315.00|1000.00|3860.48|14350.82
H0TX22112|5210.00|-0.0971|35.00|5000.00|35.00|1042.00|1979.19
H2CA08131|6500.00|-0.0970|1500.00|3000.00|2000.00|2166.67|623.61
H0ND00135|298639.00|-0.0697|-5000.00|15071.00|1500.00|1951.89|2431.57
P20002721|28648724.00|2.5715|0.00|1376909.00|1197.00|45474.17|142800.92
H2PA13110|9603.00|-0.0967|3.00|5000.00|1000.00|1600.50|1591.14
H2IN06023|93878.00|-0.0888|-1000.00|5000.00|1000.00|1401.16|1256.29
S0LA00154|-1000.00|-0.0976|-1000.00|-1000.00|-1000.00|-1000.00|0.00
H6FL13148|834971.00|-0.0198|-5000.00|49743.00|1000.00|1787.95|2695.16
H2GA09150|251806.00|-0.0741|-2500.00|11815.00|1000.00|1851.51|1762.81
S6NJ00271|1750.00|-0.0974|250.00|1000.00|500.00|583.33|311.80
H0MA04127|17216.00|-0.0960|16.00|5000.00|2500.00|2152.00|1853.76
H2CA39078|700361.00|-0.0323|-4000.00|5000.00|1000.00|1659.62|1322.76
S0IN00152|-274.00|-0.0976|-1650.00|2000.00|-37.00|-45.67|1077.60
P20004693|8434.00|-0.0968|247.00|4000.00|850.00|1405.67|1241.77
H0CA30113|400100.00|-0.0603|100.00|400000.00|400000.00|200050.00|199950.00
H6WI07033|-5000.00|-0.0980|-5000.00|-5000.00|-5000.00|-5000.00|0.00
H2MD08126|741363.00|-0.0285|-5000.00|5000.00|1000.00|1728.12|1676.94
H6MO05189|3415.00|-0.0972|15.00|1127.00|145.00|426.88|471.25
H2TX27182|3600.00|-0.0972|1000.00|2600.00|2600.00|1800.00|800.00
H2GA01157|809457.00|-0.0221|-5000.00|5000.00|1000.00|1435.21|1227.15
H8MS03067|415539.00|-0.0588|-2000.00|5000.00|1000.00|1494.74|1145.98
S2CA00641|36596.00|-0.0941|500.00|15000.00|2500.00|3659.60|4005.05
H2FL00292|287743.00|-0.0707|-5000.00|15355.00|1000.00|1798.39|2037.76
H0AZ08015|1654354.00|0.0566|-8214.00|197901.00|2000.00|8149.53|25170.80
H0WI08075|1483534.00|0.0407|-5145.00|75987.00|1000.00|1840.61|4497.92
H0WI07051|3775185.00|0.2542|-5000.00|364330.00|1000.00|4241.78|19748.15
H8IL11113|80605.00|-0.0900|-1000.00|14918.00|2095.00|4030.25|4792.66
H2NE01076|900.00|-0.0975|900.00|900.00|900.00|900.00|0.00
H8IL19108|8100.00|-0.0968|900.00|900.00|900.00|900.00|0.00
H2MI11117|430671.00|-0.0574|-500.00|228010.00|1000.00|5252.09|25723.98
H4NY07011|145750.00|-0.0840|-2500.00|5000.00|1000.00|1156.75|1122.34
H0DE01017|826039.00|-0.0206|-2500.00|5000.00|1000.00|1561.51|1091.98
S0WI00197|105146.00|-0.0878|-5000.00|5000.00|1000.00|1194.84|1497.48
H2IN02204|1105995.00|0.0055|-5000.00|185280.00|1500.00|5216.96|21977.47
H2TX33156|7600.00|-0.0968|2600.00|5000.00|5000.00|3800.00|1200.00
H2FL09129|116900.00|-0.0867|250.00|13052.00|5000.00|5845.00|4785.84
H2MI12131|350.00|-0.0975|100.00|250.00|250.00|175.00|75.00
H4IN04099|-3800.00|-0.0979|-2500.00|-300.00|-1000.00|-1266.67|917.73
H2IL03105|12000.00|-0.0964|-1000.00|5000.00|2000.00|2400.00|2332.38
H6WV04057|2122901.00|0.1002|-5000.00|149310.00|1000.00|3140.39|13533.47
S6MO00297|2500.00|-0.0973|2500.00|2500.00|2500.00|2500.00|0.00
H0WV03102|2500.00|-0.0973|2500.00|2500.00|2500.00|2500.00|0.00
H4TX15076|18.00|-0.0976|4.00|14.00|14.00|9.00|5.00
H2UT00013|5750.00|-0.0970|750.00|5000.00|5000.00|2875.00|2125.00
H4TX11026|15616.00|-0.0961|45.00|5000.00|1000.00|1561.60|1594.42
H0AL07177|5000.00|-0.0971|5000.00|5000.00|5000.00|5000.00|0.00
H2NC07096|2469389.00|0.1325|23.00|221701.00|1500.00|9461.26|30876.45
H2WA08158|5000.00|-0.0971|5000.00|5000.00|5000.00|5000.00|0.00
H8IL14067|3482128.00|0.2269|-2500.00|805902.00|2000.00|12480.75|65886.89
H6MN05183|363961.00|-0.0636|-4000.00|5000.00|1000.00|1724.93|1492.07
H2AL06126|15651.00|-0.0961|1000.00|8373.00|2278.00|3130.20|2731.51
H2GA11149|839494.00|-0.0193|-3000.00|5000.00|1000.00|1499.10|1067.33
H6GA04129|374610.00|-0.0627|-5000.00|5000.00|1000.00|1535.29|1310.65
H2FL22072|3021411.00|0.1839|-6276.00|459550.00|1000.00|6229.71|36978.35
H0FL12101|566650.00|-0.0448|-5000.00|9168.00|1000.00|1468.01|1278.78
H2FL27022|1250.00|-0.0974|250.00|1000.00|1000.00|625.00|375.00
H2IA02095|20437.00|-0.0957|2.00|19952.00|12.00|973.19|4243.88
H2TX02094|5100.00|-0.0971|2500.00|2600.00|2600.00|2550.00|50.00
