Candidate ID|Total Contributions|Z Value of Total|Minimum Contribution|Maximum Contribution|Median Contribution|Mean Contribution|Stdev of Contributions
H4TX19136|663912.00|-0.0357|-5000.00|5000.00|1000.00|1498.67|1190.45
S2PA00265|28292.00|-0.0949|5.00|6375.00|1000.00|1768.25|1992.17
H2TX23116|2600.00|-0.0973|2600.00|2600.00|2600.00|2600.00|0.00
H2OH03125|534052.00|-0.0478|-2500.00|128199.00|2000.00|2724.76|9119.46
H8MN03077|1211882.00|0.0153|-5000.00|5000.00|1000.00|1507.32|1295.70
S4AZ00030|-16500.00|-0.0991|-5000.00|5000.00|-1000.00|-550.00|2838.28
H0MI02094|619874.00|-0.0398|-4000.00|5000.00|1000.00|1318.88|1071.98
H4TX06117|753755.00|-0.0273|-5000.00|5000.00|1500.00|1678.74|1349.28
H2FL20092|3000.00|-0.0973|1000.00|1000.00|1000.00|1000.00|0.00
H8NY19058|451505.00|-0.0555|-2000.00|10503.00|1000.00|1595.42|1367.66
H0LA01087|712986.00|-0.0311|-5000.00|5000.00|1000.00|1476.16|1148.07
H2MI11190|15629.00|-0.0961|129.00|5000.00|2500.00|2604.83|1850.93
H6CA46033|728833.00|-0.0297|-5000.00|5000.00|1000.00|1714.90|1408.04
H0NV03058|4346249.00|0.3074|-5000.00|458789.00|1000.00|4385.72|26454.91
H8OH11141|498676.00|-0.0511|-5000.00|5000.00|1000.00|1534.39|1293.28
S0NM00041|38085.00|-0.0940|25.00|5000.00|1000.00|1410.56|1291.32
H0FL06061|300.00|-0.0975|300.00|300.00|300.00|300.00|0.00
H6CA47031|150.00|-0.0975|150.00|150.00|150.00|150.00|0.00
H2AL05094|10200.00|-0.0966|200.00|5000.00|5000.00|3400.00|2262.74
H2TX33131|8600.00|-0.0968|1000.00|5000.00|2600.00|2866.67|1643.84
H8NY09091|6000.00|-0.0970|-2500.00|2500.00|1000.00|352.94|1837.24
H2WA01161|7046.00|-0.0969|73.00|2500.00|1763.00|1174.33|982.08
H2NC13029|116300.00|-0.0867|-5000.00|5000.00|1000.00|1292.22|1364.16
H2NY06124|108851.00|-0.0874|101.00|15000.00|2500.00|3110.03|2640.58
H4FL20023|789684.00|-0.0240|-5000.00|5000.00|2500.00|2770.82|2076.54
H4IL20030|2000.00|-0.0974|1000.00|1000.00|1000.00|1000.00|0.00
H0KS01156|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H6IN00027|10040.00|-0.0966|540.00|2500.00|1000.00|1434.29|721.25
H8MA08071|469153.00|-0.0538|-5000.00|5000.00|1000.00|1634.68|1408.45
H2FL23021|313025.00|-0.0684|-1000.00|5000.00|1000.00|1490.60|1209.41
H6MD07160|540536.00|-0.0472|-5000.00|5000.00|1000.00|1535.61|1295.63
H8IL08044|2000.00|-0.0974|2000.00|2000.00|2000.00|2000.00|0.00
H0MI13414|903.00|-0.0975|-100.00|1000.00|3.00|301.00|496.05
H2CA15094|226863.00|-0.0764|122.00|22105.00|2000.00|3024.84|3937.36
H6TN09068|471071.00|-0.0537|-5000.00|5000.00|1000.00|1495.46|1250.65
H2MN02130|684.00|-0.0975|684.00|684.00|684.00|684.00|0.00
H0TN06257|1568763.00|0.0486|-4000.00|50454.00|1000.00|1908.47|4085.77
H8VA05106|460.00|-0.0975|-1000.00|1460.00|1460.00|230.00|1230.00
S8ID00027|343594.00|-0.0655|-5000.00|5000.00|1500.00|1709.42|1331.77
S4OK00083|361202.00|-0.0639|-2500.00|5000.00|1000.00|1373.39|1014.71
S0IA00028|164000.00|-0.0823|-2500.00|5000.00|1000.00|1333.33|1255.34
H6NV02172|-2000.00|-0.0977|-2000.00|-2000.00|-2000.00|-2000.00|0.00
S2WA00288|10500.00|-0.0966|500.00|5000.00|4000.00|2625.00|1916.21
H2CO03138|2476197.00|0.1331|-5000.00|392236.00|1250.00|8013.58|45461.37
H4GA12010|5325172.00|0.3986|-5000.00|403562.00|1500.00|4594.63|22654.64
H8OH02074|42.00|-0.0976|42.00|42.00|42.00|42.00|0.00
H2CA35100|17000.00|-0.0960|1000.00|5000.00|2500.00|2125.00|1268.61
H2OH15046|-2500.00|-0.0978|-3000.00|2500.00|-2000.00|-833.33|2392.12
H2CA31133|112159.00|-0.0871|500.00|21410.00|2500.00|6597.59|7155.96
H8CA12098|662052.00|-0.0359|-5000.00|5000.00|1000.00|1426.84|1227.16
H0VA07042|2919492.00|0.1744|-20000.00|85000.00|2500.00|2599.73|3087.33
H8VA07037|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
S2CT00165|50544.00|-0.0928|6.00|6030.00|1000.00|1296.00|1526.16
H8NJ03164|2000.00|-0.0974|2000.00|2000.00|2000.00|2000.00|0.00
H2SC02059|421184.00|-0.0583|-2500.00|6422.00|1000.00|1589.37|1354.24
H2NC08169|19000.00|-0.0958|1000.00|2500.00|2500.00|1900.00|734.85
H2VA06115|1037437.00|-0.0009|-5000.00|75590.00|1000.00|1670.59|3211.46
H6ID01201|6000.00|-0.0970|1000.00|2500.00|2500.00|2000.00|707.11
H8CA17089|380.00|-0.0975|380.00|380.00|380.00|380.00|0.00
H2UT02308|7747.00|-0.0968|247.00|5000.00|2500.00|2582.33|1941.28
H2AL06035|1780797.00|0.0684|-5000.00|27880.00|2000.00|2706.38|3149.92
H2MI07099|5000.00|-0.0971|500.00|3000.00|1000.00|1250.00|1030.78
S4OK00174|12760.00|-0.0964|-2500.00|4000.00|1000.00|580.00|2030.02
H0CA27085|521524.00|-0.0490|-2000.00|5000.00|1000.00|1529.40|1196.05
H8IL13069|5656201.00|0.4294|-5000.00|747164.00|1000.00|5561.65|41572.36
S2FL00334|10215643.00|0.8542|-5000.00|1100000.00|875.00|9832.19|66341.64
H2IA04117|2799451.00|0.1633|-1750.00|416334.00|1000.00|7908.05|34971.93
S8WI00158|894300.00|-0.0142|0.00|238224.00|733.00|6986.72|29776.59
H6TX09033|358090.00|-0.0642|-5000.00|7000.00|1644.00|2157.17|1880.54
H6NJ06187|42281.00|-0.0936|240.00|6749.00|1000.00|1761.71|1710.32
S6MN00267|1948825.00|0.0840|-5000.00|6500.00|1000.00|1428.76|1566.76
H2CA32206|5000.00|-0.0971|5000.00|5000.00|5000.00|5000.00|0.00
H2PA04135|231504.00|-0.0760|-5000.00|5000.00|1000.00|1852.03|1766.49
H0NY04099|1693.00|-0.0974|250.00|943.00|500.00|564.33|286.55
H6TX15055|303047.00|-0.0693|-5000.00|5000.00|1000.00|1731.70|1522.36
S0KY00156|75395.00|-0.0905|-5000.00|5000.00|1000.00|1277.88|1820.14
H6OR02116|1672830.00|0.0583|-2500.00|5000.00|1500.00|1804.56|1283.13
H2NY21099|10500.00|-0.0966|1000.00|2500.00|1000.00|1500.00|597.61
H2AL06142|25909.00|-0.0951|120.00|5000.00|4850.00|3238.62|1871.13
H2AZ05132|520.00|-0.0975|207.00|313.00|313.00|260.00|53.00
S8VA00214|22259424.00|1.9762|-5000.00|1810830.00|35.00|8705.29|80141.22
H2IL12114|158792.00|-0.0828|-5000.00|30111.00|2000.00|2520.51|4202.48
S2NM00104|14000.00|-0.0963|1000.00|5000.00|2500.00|2333.33|1343.71
H2CO07121|1533168.00|0.0453|0.00|248762.00|26.00|2529.98|20659.60
H6MD03292|23089.00|-0.0954|-5000.00|5042.00|453.00|452.73|2802.24
S8WI00026|-44706.00|-0.1017|-44706.00|-44706.00|-44706.00|-44706.00|0.00
H2IN05090|162586.00|-0.0824|100.00|5000.00|2500.00|2852.39|1831.37
H4TX18054|275535.00|-0.0719|-2500.00|5000.00|1000.00|1481.37|1233.26
H0HI01157|104393.00|-0.0878|-5000.00|13000.00|1000.00|2174.85|3012.94
H2KY04162|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H0KY03226|7000.00|-0.0969|500.00|5000.00|1000.00|1750.00|1887.46
H6TX08100|1098333.00|0.0048|-5000.00|5259.00|1000.00|1679.41|1398.90
H2FL16041|0.00|-0.0976|-1000.00|1000.00|1000.00|0.00|1000.00
H0AZ01259|1178265.00|0.0122|-2000.00|392411.00|1000.00|4208.09|24288.81
H2NC08185|1154235.00|0.0100|-5000.00|154648.00|1000.00|2715.85|8937.23
H2CA01110|27049.00|-0.0950|49.00|5000.00|5000.00|3864.14|1870.11
H2TN05131|347079.00|-0.0652|-1000.00|5000.00|1500.00|1684.85|1247.68
S0NH00235|340186.00|-0.0659|-14075.00|5000.00|1000.00|1417.44|1480.84
H0TX07055|379081.00|-0.0622|-2500.00|5000.00|1000.00|1298.22|1070.46
H4OK02089|44997.00|-0.0934|-5000.00|5000.00|1000.00|312.48|1658.18
H0MD07072|542.00|-0.0975|4.00|500.00|38.00|180.67|226.23
H2PA09084|6560.00|-0.0969|321.00|4010.00|840.00|1312.00|1363.10
H2NY17139|4358.00|-0.0971|6.00|2250.00|250.00|622.57|730.44
